                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68506,                 0.6641,                0.96375,                0.56047,                0.50325,                0.53243,                0.42019,                0.93588,                 1.8766,                 1.1111,             0.00021074,             0.00021074,             0.00021074
                     36,                0.67568,                0.64023,                 0.9555,                0.55695,                0.51325,                0.53585,                0.42744,                0.93376,                 1.8023,                 1.1244,             0.00020764,             0.00020764,             0.00020764
                     37,                0.67641,                0.63504,                0.95619,                0.54382,                0.53309,                 0.5306,                0.42122,                0.93353,                 1.8615,                 1.1199,             0.00020455,             0.00020455,             0.00020455
                     38,                0.66745,                0.62581,                0.95982,                 0.5532,                0.49917,                0.52723,                0.41608,                0.95216,                 1.8805,                 1.1265,             0.00020145,             0.00020145,             0.00020145
                     39,                0.66225,                0.60625,                0.94788,                0.53366,                0.53794,                0.53364,                0.42763,                0.92843,                 1.8759,                 1.1145,             0.00019835,             0.00019835,             0.00019835
                     40,                0.65968,                0.59447,                0.95024,                0.57092,                0.52638,                0.53744,                0.42941,                0.91573,                 1.8186,                 1.1039,             0.00019525,             0.00019525,             0.00019525
                     41,                0.65127,                0.58046,                0.94478,                0.52788,                0.55485,                0.53849,                 0.4295,                0.92955,                 1.9289,                 1.1096,             0.00019215,             0.00019215,             0.00019215
                     42,                0.64431,                0.58929,                0.93817,                 0.5838,                0.50675,                0.54543,                0.43185,                 0.9431,                 1.9455,                 1.1245,             0.00018905,             0.00018905,             0.00018905
                     43,                0.63713,                0.57158,                0.93986,                  0.513,                0.52332,                0.51895,                0.41071,                0.94273,                  1.975,                 1.1217,             0.00018595,             0.00018595,             0.00018595
                     44,                0.64076,                0.56317,                0.93856,                0.54954,                0.52584,                0.55396,                0.43617,                 0.9427,                 1.8227,                 1.1321,             0.00018285,             0.00018285,             0.00018285
                     45,                0.63027,                0.55891,                0.94162,                0.54202,                0.52228,                0.54279,                0.43093,                0.93693,                 1.9104,                 1.1281,             0.00017976,             0.00017976,             0.00017976
                     46,                0.61711,                   0.54,                0.93202,                0.57749,                0.48976,                 0.5312,                0.41917,                0.94572,                 1.9962,                 1.1305,             0.00017666,             0.00017666,             0.00017666
                     47,                0.61004,                0.52978,                0.92879,                0.55085,                 0.5156,                 0.5318,                0.41469,                0.96155,                 1.9856,                 1.1304,             0.00017356,             0.00017356,             0.00017356
                     48,                0.61221,                0.53651,                0.92915,                0.54406,                0.51777,                0.53468,                0.42456,                0.93901,                 2.0753,                 1.1249,             0.00017046,             0.00017046,             0.00017046
